"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"100 Federal Market & Barista- 11th Floor","ONE HUNDRED FEDERAL ST LPS","Compass Group  USA Inc","Attn:Licensing",443880,"2021-11-04 12:59:15","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","100   Federal ST","Boston","MA",2110,57150,42.35477,-71.05613,1
"100 Percent Delicia Food","BRENNAN PATRICK E","Marte","Civelis",87059,"2013-04-05 12:47:23","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","635  Hyde Park Av","Roslindale","MA",2131,77476,42.27859,-71.11944,1
"100 Percent Delicias Express","STAMATOS GEORGE C","100 Percent Delicias Express LLC","Lewis Crespo",351943,"2018-11-26 09:59:52","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-19,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-19 14:41:20","Fail","","They have not paid for their 2022 health permit.  Provide payment for the health permit.","656   Centre ST","Jamaica Plain","MA",2130,28152,42.31283,-71.11386,1
"1000 Degrees Pizza","KHOSLA VIPAN","Pasquriello LLC","Kenneth Pasquariello",313440,"2017-08-14 08:49:37","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","55  Court ST","Boston","MA",2108,156226,42.359227,-71.058878,1
"11 Dining -16th Fl.","  ","11 Dining LLC","Att: Accounts Payable",418637,"2021-07-21 12:39:24","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-06-16,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-06-16 12:18:26","Fail","","Squeeze bottles on sandwich station without labels. Provide.","200   Berkeley ST","Boston","MA",2116,187943,42.34986,-71.07291,1
"125 Nashua St. Cafe (MGH)","  ","Mass. General Hospital","Joan Shea",130844,"2015-08-13 11:37:20","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","125  Nashua ST","Boston","MA",2114,340055,42.36783,-71.06495,1
"20TH CENTRY BOWLING LANES","COVITZ","COVITZ","RONALD",18671,"2012-01-25 13:39:22","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-04,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-05-04 11:56:49","Fail","","label all containers","1231   Hyde Park AVE","Hyde Park","MA",2136,77089,42.25682,-71.12411,1
"21 ST. AMENDMENT","","MICHAEL G. CONLON JR."," ",19863,"2012-02-13 09:45:21","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-16,"590.006/6-201.16-C","*","Wall and Ceiling Coverings and Coatings (C)","2022-03-16 11:35:17","Fail","","Hood Vents with grease build up  clean to remove","150   Bowdoin ST","Boston","MA",2108,158193,42.358336,-71.062581,1
"224 BOSTON","TYO KEVIN","224 Boston Street Restaurant LLC","Eric Avlenback",370784,"2018-08-07 15:25:06","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-23,"590.002/2-501.11-PF","**","Clean-up of Vomiting and Diarrheal Events (Pf)","2022-03-23 14:09:30","Fail","","No vomit and diarrhea kit available- Provide supplies and instructions for vomit and diarrhea kit","224   Boston ST","Dorchester","MA",2125,156048,42.322272,-71.060848,1
"224 BOSTON STREET","TYO KEVIN","TYO","KEVIN",21328,"2011-12-07 11:05:18","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","224   Boston ST","Dorchester","MA",2125,156048,42.322272,-71.060848,1
"7 Pond Coffee Bar","LEVIN MORDECHAI","Cafe Fixe Inc.","Maks Milstein",98134,"2014-01-09 13:20:13","2019-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","597   Centre ST","Jamaica Plain","MA",2130,28129,42.3149,-71.11427,1
"29 Newbury Street","SAUNDERS DONALD L TRSTS ETAL","29 NEWBURY STREET INC."," ",18754,"2012-02-15 10:42:21","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","29   Newbury ST","Boston","MA",2116,101524,42.35247,-71.07277,1
"3 C's Cleveland Cir. Conv.","CHESTNUT HILL AVENUE LLC","Tocci","Ronald",201794,"2016-09-21 08:15:03","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","358   Chestnut Hill AVE","Brighton","MA",2134,31867,42.33677,-71.15139,1
"320 Cafe","","Adamo","Joseph",344670,"2017-09-21 15:19:25","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-20,"590.003/3-501.16-P","***","(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding (P)","2022-01-20 10:48:11","Fail","","There are some items stored on ice on the line that are elevated; sausage 48F.  Provide proper cold holding of 41F or below.","314   Spring ST","West Roxbury","MA",2132,157799,42.271712,-71.17211,1
"4 Brothers Market","","4 Brothers Market LLC","Att: Accounts Payable",381991,"2018-12-21 14:44:33","2021-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","3997   Washington ST","Roslindale","MA",2131,158313,42.292906,-71.12149,1
"49 Social","","The Wine Bar L L C"," ",75153,"2011-12-17 21:09:17","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","49  Temple PL","Boston","MA",2111,156349,42.35493,-71.061809,1
"5 J's & M  Convenience Market","  ","Philemond","Joslin",308971,"2016-11-28 10:36:29","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1275   River ST","Hyde Park","MA",2136,169179,42.256072,-71.124361,1
"5 Napkin Burger","","Verdi L L C"," ",74369,"2012-01-26 14:18:23","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","101  Huntington AVE","Boston","MA",2199,340845,42.346865,-71.080632,1
"556 Riverside Market","  ","Allen","Claudine",171161,"2016-05-11 08:29:42","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","556R  River ST","Mattapan","MA",2126,169149,42.266618,-71.095978,1
